Company,Country,Production,Role,Voice type,Also called,Voice,Opera (matched),Composer,Marked as,Link,Found on
Oldenburgisches Staatstheater,Germany,The Sound of Music,"Louisa, 13 Jahre",N.A.,,N.A.,N.A.,N.A.,N.N.,https://www.staatstheater.de/programm/musiktheater/spielzeit-2627/the-sound-of-music,2026-08-26
Oldenburgisches Staatstheater,Germany,The Sound of Music,"Kurt, 10 Jahre",N.A.,,N.A.,N.A.,N.A.,N.N.,https://www.staatstheater.de/programm/musiktheater/spielzeit-2627/the-sound-of-music,2026-08-26
Oldenburgisches Staatstheater,Germany,The Sound of Music,"Brigitta, 9 Jahre",N.A.,,N.A.,N.A.,N.A.,N.N.,https://www.staatstheater.de/programm/musiktheater/spielzeit-2627/the-sound-of-music,2026-08-26
Oldenburgisches Staatstheater,Germany,The Sound of Music,"Marta, 7 Jahre",N.A.,,N.A.,N.A.,N.A.,N.N.,https://www.staatstheater.de/programm/musiktheater/spielzeit-2627/the-sound-of-music,2026-08-26
Oldenburgisches Staatstheater,Germany,The Sound of Music,"Gretl, die Jüngste",N.A.,,N.A.,N.A.,N.A.,N.N.,https://www.staatstheater.de/programm/musiktheater/spielzeit-2627/the-sound-of-music,2026-08-26
Oper Stuttgart,Germany,Atatürk,"Enver Pascha/ 5. Frau, die Überassimilierte",N.A.,,N.A.,N.A.,N.A.,N.N.,https://www.staatsoper-stuttgart.de/spielplan/a-z/atatuerk/,2026-08-23
Semperoper Dresden,Germany,Verhaltenskodex,Der Verhaltenskodex wird vom Gesamtpersonalrat mitgetragen.,N.A.,,N.A.,N.A.,N.A.,Demnächst,https://www.semperoper.de/respekt.html,2026-08-23
Semperoper Dresden,Germany,Sächsisches Transparenzgesetz,bzw. an unsere Postadresse (mit dem Hinweis »Transparenzanfrage«).,N.A.,,N.A.,N.A.,N.A.,Demnächst,https://www.semperoper.de/transparenzhinweis.html,2026-08-23
Semperoper Dresden,Germany,Deutschsprachige Opernkonferenz,dok@komische-oper-berlin.de,N.A.,,N.A.,N.A.,N.A.,Demnächst,https://www.semperoper.de/opernkonferenz.html,2026-08-23
Theater Bonn,Germany,Der Barbier von Sevilla,Tanz - Swing,N.A.,,N.A.,N.A.,N.A.,NN,https://www.theater-bonn.de/de/programm/der-barbier-von-sevilla/227939,2026-08-26
Folkoperan,Sweden,Olympiaden,"Prins av Kreta, besluten att vinna Olympiaden och prinsessan Aristeas hand.",N.A.,,N.A.,N.A.,N.A.,Nn,https://folkoperan.se/uppsattningar/olympiaden/,2026-08-26
NorrlandsOperan,Sweden,Sommarnattens leende,"FREDRIKA ARMFELDT, Desirés dotter",N.A.,,N.A.,N.A.,N.A.,Meddelas senare,https://norrlandsoperan.se/forestallningar/sommarnattens-leende/,2026-08-26
Luzerner Theater,Switzerland,Spielplan Kalender,CHF 10,N.A.,,N.A.,N.A.,N.A.,Demnächst,https://www.luzernertheater.ch/spielplan/kalender,2026-08-26
Bampton Classical Opera,UK,Welcome to Bampton Classical Opera,“Drinking tea in various attitudes of deep abstraction”,N.A.,,N.A.,N.A.,N.A.,tbc,https://bamptonopera.org/operadetail.htm?event=52,2026-08-26
Bampton Classical Opera,UK,Welcome to Bampton Classical Opera,Fidelity and fishing: La vera costanza,N.A.,,N.A.,N.A.,N.A.,tbc,https://bamptonopera.org/operadetail.htm?event=63,2026-08-26
Bampton Classical Opera,UK,Welcome to Bampton Classical Opera,‘Sir John in Love’,N.A.,,N.A.,N.A.,N.A.,tbc,https://bamptonopera.org/operadetail.htm?event=62,2026-08-26
Bampton Classical Opera,UK,Welcome to Bampton Classical Opera,The Merry Wives of Windsor: operatic and music theatre settings,N.A.,,N.A.,N.A.,N.A.,tbc,https://bamptonopera.org/operadetail.htm?event=62,2026-08-26
Bampton Classical Opera,UK,Welcome to Bampton Classical Opera,Waiting for Figaro - two abandoned operas and a singspiel,N.A.,,N.A.,N.A.,N.A.,tbc,https://bamptonopera.org/operadetail.htm?event=66,2026-08-26
